"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"11171","火箭队(#4)","个人办公（前八）(#165)","","会议管理：不能申请过去时间的会议","登录成功","1. 点击个人办公
2. 点击会议管理
3. 点击会议申请
4. 填写会议信息（会议时间是过去的时间）
5. 点击保存信息
","1. 出现个人办公界面
2. 出现会议管理界面
3. 出现会议申请界面
4. 填写会议信息完成
5. 提示：会议时间不合法
","1. 
2. 
3. 
4. 
5. 会议信息操作成功
","","3","功能测试","","正常","1","1","5","失败","刘海迪","2018-12-12","","0000-00-00","1","",""
"11005","火箭队(#4)","个人办公（前八）(#165)","","会议管理：会议审批人员拒绝后会议状态变为拒绝","1.登录成功2.有会议信息3.有会议室4.有可选择出席人","1. 点击个人办公
2. 点击会议管理
3. 点击会议申请
4. 添加会议信息
5. 点击保存
6. 点击退出
7. 登录审批人账号
8. 点击个人办公
9. 点击会议管理
10. 点击拒绝
","1. 出现个人办公页面
2. 出现会议管理页面
3. 出现会议申请页面
4. 添加完成
5. 提示：会议信息操作成功
6. 出现登录页面
7. 可以看到会议消息
8. 出现个人办公页面
9. 出现会议列表
10. 会议状态变为拒绝
","","","3","功能测试","","正常","0","1","10","通过","刘海迪","2018-12-05","刘海迪","2018-12-05","2","",""
"11000","火箭队(#4)","个人办公（前八）(#165)","","任务管理：新建任务中任务名称只有空格也算为空","登录成功","1. 点击个人办公
2. 点击任务管理
3. 点击新建任务
4. 输入任务编号为”20181205081151“
5. 输入任务名称为“ ”
6. 输入任务开始时间为“2018-12-05”
7. 输入任务结束时间为“2018-12-05”
8. 选择执行人“1”
9. 输入任务描述“dsdf”
10. 点击保存信息
","1. 出现个人办公界面
2. 出现任务管理界面
3. 出现新建任务界面
4. 输入完成
5. 输入完成
6. 输入完成
7. 输入完成
8. 选择完成
9. 输入完成
10. 提示“任务名称不能为空”
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 任务信息操作成功
","","3","功能测试","","正常","2","2","10","失败","刘海迪","2018-12-05","","0000-00-00","1","",""
"10998","火箭队(#4)","个人办公（前八）(#165)","","任务管理：新建任务不能新建已有的任务编号","登录成功
已有“2011205081151”任务编号","1. 点击个人办公
2. 点击任务管理
3. 点击新建任务
4. 输入任务编号为”20181205081151“
5. 输入任务名称为“任务1”
6. 输入任务开始时间为“2018-12-05”
7. 输入任务结束时间为空
8. 选择任务执行人
9. 输入任务描述“dskd”
10. 点击保存信息
","1. 出现个人办公界面
2. 出现任务管理界面
3. 出现新建任务界面
4. 输入完成
5. 输入完成
6. 输入完成
7. 输入完成
8. 选择完成
9. 输入完成
10. 提示“已有此任务编号”
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 任务信息操作成功
","","3","功能测试","","正常","2","1","10","失败","刘海迪","2018-12-05","","0000-00-00","1","",""
"10986","火箭队(#4)","个人办公（前八）(#165)","","任务管理：新建任务中任务描述不能为空","登录成功","1. 点击个人办公
2. 点击任务管理
3. 点击新建任务
4. 输入任务编号为”20181205081151“
5. 输入任务名称为“任务1”
6. 输入任务开始时间为“2018-12-05”
7. 输入任务结束时间为“2018-12-05”
8. 选择任务执行人
9. 输入任务描述为空
10. 点击保存信息
","1. 出现个人办公界面
2. 出现任务管理界面
3. 出现新建任务界面
4. 输入完成
5. 输入完成
6. 输入完成
7. 输入完成
8. 选择完成
9. 输入完成
10. 提示“任务描述不能为空”
","","","3","功能测试","","正常","0","1","10","通过","刘海迪","2018-12-05","刘海迪","2018-12-05","2","",""
"10984","火箭队(#4)","个人办公（前八）(#165)","","任务管理：新建任务中任务执行人不能为空","登录成功","1. 点击个人办公
2. 点击任务管理
3. 点击新建任务
4. 输入任务编号为”20181205081151“
5. 输入任务名称为“任务1”
6. 输入任务开始时间为“2018-12-05”
7. 输入任务结束时间为“2018-12-05”
8. 输入任务描述“dsdf”
9. 点击保存信息
","1. 出现个人办公界面
2. 出现任务管理界面
3. 出现新建任务界面
4. 输入完成
5. 输入完成
6. 输入完成
7. 输入完成
8. 输入完成
9. 提示“执行人不能为空”
","","","3","功能测试","","正常","0","1","9","通过","刘海迪","2018-12-05","刘海迪","2018-12-05","2","",""
"10983","火箭队(#4)","个人办公（前八）(#165)","","任务管理：新建任务中任务结束时间不能为空","登录成功","1. 点击个人办公
2. 点击任务管理
3. 点击新建任务
4. 输入任务编号为”20181205081151“
5. 输入任务名称为“任务1”
6. 输入任务开始时间为“2018-12-05”
7. 输入任务结束时间为空
8. 选择执行人“1”
9. 输入任务描述“dsdf”
10. 点击保存信息
","1. 出现个人办公界面
2. 出现任务管理界面
3. 出现新建任务界面
4. 输入完成
5. 输入完成
6. 输入完成
7. 输入完成
8. 选择完成
9. 输入完成
10. 提示“任务结束时间不能为空”
","","","3","功能测试","","正常","0","1","10","通过","刘海迪","2018-12-05","","0000-00-00","1","",""
"10982","火箭队(#4)","个人办公（前八）(#165)","","任务管理：新建任务中任务开始时间不能为空","登录成功","1. 点击个人办公
2. 点击任务管理
3. 点击新建任务
4. 输入任务编号为”20181205081151“
5. 输入任务名称为“任务1”
6. 输入任务开始时间为空
7. 输入任务结束时间为“2018-12-05”
8. 选择执行人“1”
9. 输入任务描述“dsdf”
10. 点击保存信息
","1. 出现个人办公界面
2. 出现任务管理界面
3. 出现新建任务界面
4. 输入完成
5. 输入完成
6. 输入完成
7. 输入完成
8. 选择完成
9. 输入完成
10. 提示“任务开始时间不能为空”
","","","3","功能测试","","正常","0","1","10","通过","刘海迪","2018-12-05","","0000-00-00","1","",""
"10981","火箭队(#4)","个人办公（前八）(#165)","","任务管理：新建任务中任务名称不能为空","登录成功","1. 点击个人办公
2. 点击任务管理
3. 点击新建任务
4. 输入任务编号为”20181205081151“
5. 输入任务名称为空
6. 输入任务开始时间为“2018-12-05”
7. 输入任务结束时间为“2018-12-05”
8. 选择执行人“1”
9. 输入任务描述“dsdf”
10. 点击保存信息
","1. 出现个人办公界面
2. 出现任务管理界面
3. 出现新建任务界面
4. 输入完成
5. 输入完成
6. 输入完成
7. 输入完成
8. 选择完成
9. 输入完成
10. 提示“任务名称不能为空”
","","","3","功能测试","","正常","0","1","10","通过","刘海迪","2018-12-05","","0000-00-00","1","",""
"10979","火箭队(#4)","个人办公（前八）(#165)","","任务管理：新建任务中任务编号不能为空","登录成功","1. 点击个人办公
2. 点击任务管理
3. 点击新建任务
4. 输入任务编号为空
5. 输入任务名称为“任务1”
6. 输入任务开始时间为“2018-12-05”
7. 输入任务结束时间为“2018-12-05”
8. 选择执行人“1”
9. 输入任务描述“dsdf”
10. 点击保存信息
","1. 出现个人办公界面
2. 出现任务管理界面
3. 出现新建任务界面
4. 输入完成
5. 输入完成
6. 输入完成
7. 输入完成
8. 选择完成
9. 输入完成
10. 提示“任务编号不能为空”
","","","3","功能测试","","正常","0","1","10","通过","刘海迪","2018-12-05","刘海迪","2018-12-05","1","",""
"10775","火箭队(#4)","个人办公（前八）(#165)","","任务管理：未开始任务执行人不可更改任务进度","1.登录成功
2.有执行人
3.未到任务开始时间","1. 1.点击个人办公
2. 2.点击任务管理
3. 3.点击新建任务
4. 4.输入任务信息，输入未到的开始时间
5. 5.选择执行人
6. 6.保存信息
7. 7.点击退出
8. 8.登录执行人账号
9. 9.选择任务
10. 10.点击返回列表页面
11. 11.点击进度录入
","1. 1.出现个人办公页面
2. 2.出现任务管理页面
3. 3.出现新建任务页面
4. 4.任务信息填写完整
5. 5.执行人选择结束
6. 6.提示：任务信息操作成功
7. 7.出现登录页面
8. 8.在个人办公页面可以看到任务
9. 9.显示任务信息
10. 10.显示全部任务信息
11. 11.显示任务信息，无录入进度按钮
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11. 有录入进度按钮，且能录入进度
","","3","功能测试","","正常","2","1","11","失败","刘海迪","2018-12-04","","0000-00-00","1","",""
"10767","火箭队(#4)","个人办公（前八）(#165)","","任务管理：新建任务任务名称可以含特殊字符","1.登录成功","1. 1.点击个人办公
2. 2.点击任务管理
3. 3.点击新建任务
4. 4.输入任务信息，任务名称输入为&*
5. 5.点击保存
","1. 1.出现个人办公页面
2. 2.出现任务管理页面
3. 3.出现新建任务页面
4. 4.输入信息完成
5. 5.提示：任务信息操作成功
","","","3","功能测试","","正常","0","1","5","通过","刘海迪","2018-12-04","","0000-00-00","1","",""
"10763","火箭队(#4)","个人办公（前八）(#165)","","任务管理：新建任务时间格式非法提示","1.登录成功","1. 1.点击个人办公
2. 2.点击任务管理
3. 3.点击新建任务
4. 4.输入开始时间为“2019”
","1. 1.出现个人办公页面
2. 2.出现任务管理页面
3. 3.出现新建任务页面
4. 4.提示：不合法的日期格式
","","","3","功能测试","","正常","0","1","4","通过","刘海迪","2018-12-04","","0000-00-00","1","",""
"10748","火箭队(#4)","个人办公（前八）(#165)","","任务管理：新建任务结束时间在开始时间之前","1.登录成功","1. 1.点击个人办公
2. 2.点击任务管理
3. 3.点击新建任务
4. 4.填写必要信息，结束时间在开始时间之前
5. 5.点击保存信息
","1. 1.出现个人办公页面
2. 2.出现任务管理页面
3. 3.出现新建任务页面
4. 4.信息填写完成
5. 5.提示：任务时间不合法
","1. 
2. 
3. 
4. 
5. 任务信息操作成功
","","3","功能测试","","正常","2","1","5","失败","刘海迪","2018-12-04","","0000-00-00","1","",""
"10738","火箭队(#4)","个人办公（前八）(#165)","","任务管理：任务查询任务编号与任务名称不符无法查出任务","1.登录成功2.任务列表有任务","1. 点击个人办公
2. 点击任务管理
3. 输入不对应任务编号和任务名称
4. 点击查询
","1. 出现个人办公页面
2. 出现任务管理页面
3. 输入信息完成
4. 查询列表无任务
","","","3","功能测试","","正常","0","1","4","通过","刘海迪","2018-12-04","","0000-00-00","1","",""
"10716","火箭队(#4)","个人办公（前八）(#165)","","任务管理：输入名称拼音可以查出含有名称的任务","1.登录成功2.含有对应名称的任务","1. 1.点击个人办公
2. 2.点击任务管理
3. 3.输入任务名称拼音
4. 4.点击查询
","1. 1.出现个人办公页面
2. 2.出现任务管理页面
3. 3.任务名称填写完成
4. 4.任务列表出现含有对应名称的任务信息
","1. 
2. 
3. 
4. 不能查询到对应拼音的任务
","","3","功能测试","","正常","2","1","4","失败","刘海迪","2018-12-04","刘海迪","2018-12-04","1","",""
"10255","火箭队(#4)","个人办公（前八）(#165)","","任务管理：修改任务结束时间，执行人任务状态改变","1.登录成功2.任务状态为未完成3.有执行人","1. 1.点击个人办公
2. 2.点击任务管理
3. 3.选中未完成任务点击编辑
4. 4.修改任务截止时间
5. 5.点击保存信息
","1. 1.出现个人办公页面
2. 2.出现任务管理页面
3. 3.出现编辑任务页面
4. 4.修改时间完成
5. 5.提示：任务信息操作成功 状态：进行中
","1. 
2. 
3. 
4. 
5. 任务状态仍为未完成
","","3","功能测试","","正常","2","1","5","失败","刘海迪","2018-11-30","刘海迪","2018-12-04","2","",""
"10254","火箭队(#4)","个人办公（前八）(#165)","","任务管理：超过任务时间执行人不可更改任务进度","1.登录成功2.执行人在任务执行时间之后进行进度录入3.有执行人","1. 1.点击个人办公
2. 2.点击任务管理
3. 3.点击新建任务
4. 4.输入任务信息
5. 5.选择执行人
6. 6.保存信息
7. 7.点击退出
8. 8.登录执行人账号
9. 9.选择任务
10. 10.点击返回列表页面
11. 11.点击进度录入
","1. 1.出现个人办公页面
2. 2.出现任务管理页面
3. 3.出现新建任务页面
4. 4.任务信息填写完整
5. 5.执行人选择结束
6. 6.提示：任务信息操作成功
7. 7.出现登录页面
8. 8.在个人办公页面可以看到任务
9. 9.显示任务信息
10. 10.显示全部任务信息
11. 11.显示任务信息，无进度录入按钮
","","","3","功能测试","","正常","0","1","11","通过","刘海迪","2018-11-30","刘海迪","2018-12-04","1","",""
"10042","火箭队(#4)","个人办公（前八）(#165)","","未选中数据无法清除","1.登录成功2.有数据","1. 点击个人办公
2. 点击会议管理
3. 点击清理数据
","1. 出现个人办公页面
2. 出现会议管理页面
3. 提示：无可清除数据
","1. 
2. 
3. 提示：会议信息删除成功
","","3","功能测试","","正常","2","2","3","失败","刘海迪","2018-11-28","","0000-00-00","1","",""
"10041","火箭队(#4)","个人办公（前八）(#165)","","通讯录：不同联系人手机与联系电话不能重复","1.登录成功","1. 点击个人办公
2. 点击手机短信
3. 点击新增通讯录
4. 填写信息
5. 点击保存信息
6. 重复3.4.5操作且输入信息一致
","1. 出现个人办公页面
2. 出现手机短信页面
3. 出现新增通讯录页面
4. 信息填写完整
5. 提示：编辑通讯录成功
6. 提示：已存在该联系人
","1. 
2. 
3. 
4. 
5. 
6. 提示：添加通讯录成功
","","3","功能测试","","正常","2","1","6","失败","刘海迪","2018-11-28","刘海迪","2018-12-04","2","",""
"10040","火箭队(#4)","个人办公（前八）(#165)","","通讯录：选中多个联系人发送短信系统自动逗号隔开","1.登录成功2.通讯录有多个联系人","1. 点击个人办公
2. 点击通讯录
3. 选中多个联系人
4. 点击发送短信
","1. 出现个人办公页面
2. 出现通讯录页面
3. 选中联系人
4. 选中的人系统自动用逗号隔开
","","","3","功能测试","","正常","0","1","4","通过","刘海迪","2018-11-28","刘海迪","2018-12-04","3","",""
"10039","火箭队(#4)","个人办公（前八）(#165)","","手机短信：发送短信内容字数有限制","1.登录成功2.有联系人","1. 点击个人办公
2. 点击手机短信
3. 点击发送短信
4. 填写接收人及其号码
5. 填写内容超过68字
","1. 出现个人办公页面
2. 出现手机短信页面
3. 出现编写短信页面
4. 填写信息完成
5. 多余68字的部分无法被输入
","","","3","功能测试","","正常","0","1","5","通过","刘海迪","2018-11-28","刘海迪","2018-12-04","2","",""
"10038","火箭队(#4)","个人办公（前八）(#165)","","手机短信：可以一次给多人发送手机短信","1.登录成功2.有多个账户","1. 点击个人办公

2. 点击手机短信
3. 点击发送短信
4. 输入内容
5. 选择多个接收人
6. 点击发送短信
","1. 出现个人办公页面
2. 出现手机短信页面
3. 出现编写短信页面
4. 信息填写完整
5. 接收人及手机号用英文逗号隔开
6. 提示：短信发送成功；给多人发送短信
","","","3","功能测试","","正常","0","1","6","通过","刘海迪","2018-11-28","刘海迪","2018-12-05","3","",""
"10036","火箭队(#4)","个人办公（前八）(#165)","","会议管理：会议审批人员审批后会议状态变为已批","1.登录成功2.有会议信息3.有会议室4.有可选择出席人","1. 点击个人办公
2. 点击会议管理
3. 点击会议申请
4. 添加会议信息
5. 点击保存
6. 点击退出
7. 登录审批人账号
8. 点击个人办公
9. 点击会议管理
10. 点击审批
","1. 出现个人办公页面
2. 出现会议管理页面
3. 出现会议申请页面
4. 添加完成
5. 提示：会议信息操作成功
6. 出现登录页面
7. 可以看到会议消息
8. 出现个人办公页面
9. 出现会议列表
10. 会议状态变为已批
","1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 会议状态为己批
","","3","功能测试","","正常","1","2","10","失败","刘海迪","2018-11-28","刘海迪","2018-12-05","2","",""
"10035","火箭队(#4)","个人办公（前八）(#165)","","会议管理：会议出席人员可以收到会议信息","1.登录成功2.有会议信息3.有会议室4.有可选择出席人","1. 点击个人办公
2. 点击会议管理
3. 点击会议申请
4. 添加会议信息
5. 点击保存
6. 点击退出
7. 登录出席人账号
","1. 出现个人办公页面
2. 出现会议管理页面
3. 出现会议申请页面
4. 添加完成
5. 提示：会议信息操作成功
6. 出现登录页面
7. 可以看到会议消息
","","","3","功能测试","","正常","0","1","7","通过","刘海迪","2018-11-28","","0000-00-00","1","",""
"10034","火箭队(#4)","个人办公（前八）(#165)","","会议管理：会议参加人时间不能冲突","1.登录成功2.有会议信息3.有会议室4.有可选择出席人","1. 点击个人办公
2. 点击会议管理
3. 点击会议申请
4. 添加同一时间已有会议的人
5. 点击保存
","1. 出现个人办公页面
2. 出现会议管理页面
3. 出现会议申请页面
4. 添加完成
5. 提示：有会议冲突的出席人员
","1. 
2. 
3. 
4. 
5. 提示：会议信息操作成功
","","3","功能测试","","正常","2","1","5","失败","刘海迪","2018-11-28","","0000-00-00","1","",""
"10033","火箭队(#4)","个人办公（前八）(#165)","","会议管理：会议时间地点不能冲突","1.登录成功2.有会议信息3.有会议室4.有可选择出席人","1. 点击个人办公
2. 点击会议管理
3. 点击会议申请
4. 添加已有的会议时间地点
5. 点击保存
","1. 出现个人办公页面
2. 出现会议管理页面
3. 出现会议申请页面
4. 添加完成
5. 提示：与其他会议冲突
","1. 
2. 
3. 
4. 
5. 会议信息操作成功
","","3","功能测试","","正常","2","1","5","失败","刘海迪","2018-11-28","","0000-00-00","1","",""
"10032","火箭队(#4)","个人办公（前八）(#165)","","工作计划：参与人员对计划发布评论不可为空","1.登录成功2.计划列表有计划","1. 点击个人办公
2. 点击工作计划
3. 点击查看
4. 点击发起评论
","1. 出现个人办公页面
2. 出现工作计划页面
3. 出现计划信息
4. 提示：评论内容不能为空
","1. 
2. 
3. 
4. 提示：评论发布成功
","","3","功能测试","","正常","2","1","4","失败","刘海迪","2018-11-28","","0000-00-00","1","",""
"10031","火箭队(#4)","个人办公（前八）(#165)","","工作计划：计划参与人员可以对计划发布评论","1.登录成功2.计划列表有计划","1. 点击个人办公
2. 点击工作计划
3. 点击查看
4. 填写评论信息
5. 点击发起评论
","1. 出现个人办公页面
2. 出现工作计划页面
3. 出现计划信息
4. 评论信息填写完成
5. 提示：评论发布成功
","","","3","功能测试","","正常","0","1","5","通过","刘海迪","2018-11-28","","0000-00-00","1","",""
"10030","火箭队(#4)","个人办公（前八）(#165)","","工作计划：状态为已完成的计划在已完成计划列表中全部显示","1.登录成功2.计划列表有计划","1. 点击个人办公
2. 点击工作计划
3. 点击已完成的计划
","1. 出现个人办公页面
2. 出现工作计划页面
3. 列表中显示所有已完成的计划
","","","3","功能测试","","正常","0","1","3","通过","刘海迪","2018-11-28","","0000-00-00","1","",""
"10029","火箭队(#4)","个人办公（前八）(#165)","","工作计划：可以修改计划状态","1.登录成功2.计划列表有计划","1. 点击个人办公
2. 点击工作计划
3. 选中计划点击完成
","1. 出现个人办公页面
2. 出现工作计划页面
3. 选中计划状态变为已完成
","","","3","功能测试","","正常","0","1","3","通过","刘海迪","2018-11-28","","0000-00-00","1","",""
"10028","火箭队(#4)","个人办公（前八）(#165)","","任务管理：只输入对应周期可以查出对应周期内任务","1.登录成功2该周期内有任务","1. .点击个人办公
2. 点击任务管理
3. 输入任务周期
4. 点击查询
","1. 出现个人办公页面
2. 出现任务管理页面
3. 任务周期填写完成
4. 任务列表出现对应周期内的任务信息
","","","3","功能测试","","正常","0","1","4","通过","刘海迪","2018-11-28","刘海迪","2018-12-04","2","",""
"10027","火箭队(#4)","个人办公（前八）(#165)","","任务管理：输入部分任务名称可以查出含有名称的任务","1.登录成功2有含有对应名称的任务","1. 点击个人办公
2. 点击任务管理
3. 输入部分任务名称
4. 点击查询
","1. 出现个人办公页面
2. 出现任务管理页面
3. 部分任务名称填写完成
4. 任务列表出现含有对应名称的任务信息
","","","3","功能测试","","正常","0","1","4","通过","刘海迪","2018-11-28","刘海迪","2018-12-04","3","",""
"10026","火箭队(#4)","个人办公（前八）(#165)","","任务管理：只输入任务编号可以查出对应编号任务","1.登录成功2.有对应编号的任务","1. 点击个人办公
2. 点击任务管理
3. 输入任务编号
4. 点击查询
","1. 出现个人办公页面
2. 出现任务管理页面
3. 任务编号填写完成
4. 任务列表出现对应编号的任务信息
","","","3","功能测试","","正常","0","1","4","通过","刘海迪","2018-11-28","","0000-00-00","1","",""
"10025","火箭队(#4)","个人办公（前八）(#165)","","任务管理：执行人录入进度为100%的任务可以再已完成任务列表中显示","1.登录成功2.有可执行人","1. 点击个人办公
2. 点击任务管理
3. 点击新建任务
4. 输入任务信息
5. 选择执行人
6. 保存信息
7. 点击退出
8. 登录执行人账号
9. 选择任务
10. 点击返回列表页面
11. 点击进度录入
12. 点击录入进度
13. 输入进度为100%，填写完成内容
14. 点击保存信息
15. 点击已完成任务列表
","1. 出现个人办公页面
2. 出现任务管理页面
3. 出现新建任务页面
4. 任务信息填写完整
5. 执行人选择结束
6. 提示：任务信息操作成功
7. 出现登录页面
8. 在个人办公页面可以看到任务
9. 显示任务信息
10. 显示全部任务信息
11. 显示任务信息
12. 进入录入进度页面
13. 信息填写完整
14. 任务进度为100%
15. 在已完成列表中看到完成任务
","","","3","功能测试","","正常","0","1","15","通过","刘海迪","2018-11-28","刘海迪","2018-12-04","1","",""
"10024","火箭队(#4)","个人办公（前八）(#165)","","任务管理：任务执行人改变进度超过100%会提示","1.登录成功2.有可执行人","1. 点击个人办公
2. 点击任务管理
3. 点击新建任务
4. 输入任务信息
5. 选择执行人
6. 保存信息
7. 点击退出
8. 登录执行人账号
9. 选择任务
10. 点击返回列表页面
11. 点击进度录入
12. 点击录入进度
13. 输入进度为150%，填写完成内容
14. 点击保存信息
","1. 出现个人办公页面
2. 出现任务管理页面
3. 出现新建任务页面
4. 任务信息填写完整
5. 执行人选择结束
6. 提示：任务信息操作成功
7. 出现登录页面
8. 在个人办公页面可以看到任务
9. 显示任务信息
10. 显示全部任务信息
11. 显示任务信息
12. 进入录入进度页面
13. 信息填写完整
14. 任务进度显示“任务己完成，但超出来进度”
","","","3","功能测试","","正常","0","1","14","通过","刘海迪","2018-11-28","","0000-00-00","1","",""
"10023","火箭队(#4)","个人办公（前八）(#165)","","任务管理：任务执行人可以改变任务进度","1.登录成功2.有可选择执行人","1. 点击个人办公
2. 点击任务管理
3. 点击新建任务
4. 输入任务信息
5. 选择执行人
6. 保存信息
7. 点击退出
8. 登录执行人账号
9. 选择任务
10. 点击返回列表页面
11. 点击进度录入
12. 点击录入进度
13. 输入进度，填写完成内容
14. 点击保存信息
","1. 出现个人办公页面
2. 出现任务管理页面
3. 出现新建任务页面
4. 任务信息填写完整
5. 执行人选择结束
6. 提示：任务信息操作成功
7. 出现登录页面
8. 在个人办公页面可以看到任务
9. 显示任务信息
10. 显示全部任务信息
11. 显示任务信息
12. 进入录入进度页面
13. 信息填写完整
14. 任务进度被改变
","","","3","功能测试","","正常","0","1","14","通过","刘海迪","2018-11-28","","0000-00-00","1","",""
"10022","火箭队(#4)","个人办公（前八）(#165)","","任务管理：执行人可以收到任务消息","1.登录成功2.有可选择执行人","1. 点击个人办公
2. 点击任务管理
3. 点击新建任务
4. 输入任务信息
5. 选择执行人
6. 保存信息
7. 点击退出
8. 登录执行人账号
","1. 出现个人办公页面
2. 出现任务管理页面
3. 出现新建任务页面
4. 任务信息填写完整
5. 执行人选择结束
6. 提示：任务信息操作成功
7. 出现登录页面
8. 在个人办公页面可以看到任务
","","","3","功能测试","","正常","0","1","8","通过","刘海迪","2018-11-28","","0000-00-00","1","",""
"10020","火箭队(#4)","个人办公（前八）(#165)","","在线考勤：可以更改打卡原因","1.登录成功2已打卡3.提交过备注","1. 点击个人信息
2. 点击在线考勤
3. 点击输入框输入“这是原因”
4. 点击提交备注
","1. 出现个人办公页面
2. 出现在线考勤页面
3. 输入框中显示“这是原因”
4. 提示：成功更新考勤原因；备注：这是原因
","","","3","功能测试","","正常","0","1","4","通过","刘海迪","2018-11-28","","0000-00-00","1","",""
"10019","火箭队(#4)","个人办公（前八）(#165)","","在线考勤：未打卡不能提交备注","1.登录成功2未打卡","1. 点击个人信息
2. 点击在线考勤
3. 点击提交备注
","1. 出现个人办公页面
2. 出现在线考勤页面
3. 提示：您未打卡
","1. 
2. 
3. 成功更新考勤原因
","","3","功能测试","","正常","2","1","3","失败","刘海迪","2018-11-28","","0000-00-00","1","",""
"10018","火箭队(#4)","个人办公（前八）(#165)","","在线考勤：提交备注字数有限制","1.登录成功2已经打卡","1. 点击个人办公
2. 点击在线考勤
3. 选中输入框输入超过68字
","1. 出现个人办公页面
2. 出现在线考勤页面
3. 超过68的字数无法输入
","1. 
2. 
3. 输入字数不受限制
","","3","功能测试","","正常","2","1","3","失败","刘海迪","2018-11-28","刘海迪","2018-12-04","2","",""
"10017","火箭队(#4)","个人办公（前八）(#165)","","在线考勤：提交备注可为空","1.登录成功2已经打卡","1. 点击个人办公
2. 点击在线考勤
3. 点击提交备注
","1. 出现个人办公页面
2. 出现在线考勤页面
3. 提示：成功更新考勤原因
","","","3","功能测试","","正常","0","1","3","通过","刘海迪","2018-11-28","","0000-00-00","1","",""
"10016","火箭队(#4)","个人办公（前八）(#165)","","在线考勤：一天内不能打卡超过两次","1.登录成功2.已经打卡两次4.系统规定每天打卡次数为两次","1. 点击个人办公
2. 点击在线考勤
3. 点击在线打卡
","1. 出现个人办公页面
2. 出现在线考勤页面
3. 提示：请不要重复打卡
","","","3","功能测试","","正常","0","1","3","通过","刘海迪","2018-11-28","","0000-00-00","1","",""
"10015","火箭队(#4)","个人办公（前八）(#165)","","在线考勤：第二次打卡提示","1.登录成功2.第二次打卡3.未在规定时间后打卡4.系统规定每天打卡次数为两次","1. 点击个人办公
2. 点击在线考勤
3. 点击在线打卡
","1. 出现个人办公页面
2. 出现在线考勤页面
3. 提示：未到下班时间
","","","3","功能测试","","正常","0","1","3","通过","刘海迪","2018-11-28","刘海迪","2018-12-05","3","",""
"10014","火箭队(#4)","个人办公（前八）(#165)","","在线考勤：第二次打卡状态显示正常","1.登录成功2.第二次打卡3在规定时间后打卡4.系统规定每天打卡次数为两次","1. 点击个人办公
2. 点击在线考勤
3. 点击在线打卡
","1. 出现个人办公页面
2. 出现在线考勤页面
3. 提示：打卡信息更新成功；状态：正常
","","","3","功能测试","","正常","0","1","3","通过","刘海迪","2018-11-28","","0000-00-00","1","",""
"10013","火箭队(#4)","个人办公（前八）(#165)","","在线考勤：上班时间前不可以二次打卡","1.登录成功2.第二次打卡3在规定上班时间前打卡4.系统规定每天打卡次数为两次","1. 点击个人办公
2. 点击在线考勤
3. 点击在线打卡
","1. 出现个人办公页面
2. 出现在线考勤页面
3. 提示：请不要重复打卡
","","","3","功能测试","","正常","0","1","3","通过","刘海迪","2018-11-28","","0000-00-00","1","",""
"10012","火箭队(#4)","个人办公（前八）(#165)","","在线考勤：首次打卡状态显示迟到","1.登录成功2.首次打卡3.未在规定时间前打卡4.系统规定每天打卡次数为两次","1. 点击个人办公
2. 点击在线考勤
3. 点击在线打卡
","1. 出现个人办公页面
2. 出现在线考勤页面
3. 提示：打卡信息更新成功；状态：迟到
","","","3","功能测试","","正常","0","1","3","通过","刘海迪","2018-11-28","","0000-00-00","1","",""
"10011","火箭队(#4)","个人办公（前八）(#165)","","在线考勤：首次打卡状态显示正常","1.登录成功2.首次打卡3在规定上班时间之前打卡4.系统规定每天打卡次数为两次","1. 点击个人办公
2. 点击在线考勤
3. 点击在线打卡
","1. 出现个人办公页面
2. 出现在线考勤页面
3. 提示：打卡信息更新成功；状态：正常
","","","3","功能测试","","正常","0","1","3","通过","刘海迪","2018-11-28","","0000-00-00","1","",""
